name,homepage,citations,hindex,i10index,affiliation,score
He Wang,https://scholar.google.com/citations?user=Y8O9N_0AAAAJ&hl=en,,,,,204.922
Shaomeng Wang,https://scholar.google.com/citations?user=JAHZ93wAAAAJ&hl=en,,,,,173.102
Mark Ibrahim,https://scholar.google.co.in/citations?user=AqYyoCMAAAAJ&hl=en,,,,,49.295
Tommaso Biancalani,https://scholar.google.co.th/citations?user=s_qd9x0AAAAJ&hl=en,,,,,70.235
Aviv Regev,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Randall Balestriero,https://scholar.google.com/citations?user=S1x_xqcAAAAJ&hl=en,,,,,66.109
Josselin Garnier,https://scholar.google.com/citations?user=nJDy0O8AAAAJ&hl=en,,,,,122.111
Maarten V. de Hoop,https://scholar.google.com/citations?user=El9s8sIAAAAJ&hl=en,,,,,115.736
Jeffrey Ouyang-Zhang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Krithika Ravishankar,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Adam Klivans,https://scholar.google.com/citations?user=UD87zMYAAAAJ&hl=en,,,,,94.149
Daniel Jesus Diaz,https://scholar.google.com/citations?user=lVD0CNEAAAAJ&hl=en,,,,,32.019
Florian Redhardt,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Rémi Emonet,https://scholar.google.com/citations?user=TOqZIGgAAAAJ&hl=en,,,,,50.19
Riccardo De Santi,https://scholar.google.com/citations?user=UpK8srAAAAAJ&hl=en,,,,,97.588
Ya-Ping Hsieh,https://scholar.google.com/citations?user=NcYQEg8AAAAJ&hl=en,,,,,63.657
Niao He,https://scholar.google.com/citations?user=iNcA81MAAAAJ&hl=en,,,,,74.696
Andreas Krause,https://scholar.google.com/citations?user=eDHv58AAAAAJ&hl=en,,,,,280.0
Marc Mezard,https://scholar.google.com/citations?user=D83Vz00AAAAJ&hl=fr,,,,,38.29
Antonio Torralba,https://scholar.google.com/citations?user=8cxDHS4AAAAJ&hl=en,,,,,368.0
Georg Martius,https://scholar.google.com/citations?user=b-JF-UIAAAAJ&hl=en,,,,,87.841
Emre Ugur,https://scholar.google.com/citations?user=B1Dy3WMAAAAJ&hl=en,,,,,65.375
Julius Berner,https://scholar.google.com.sg/citations?user=73-D2jgAAAAJ&hl=en,,,,,44.888
Yuanqi Du,https://scholar.google.com/citations?user=fAc_zZMAAAAJ&hl=en,,,,,68.6
Arash Vahdat,https://scholar.google.com.co/citations?user=p9-nlRIAAAAJ&hl=en,,,,,113.241
Gerhard Neumann,https://scholar.google.com/citations?user=GL360kMAAAAJ&hl=en,,,,,117.773
Yanning Shen,https://scholar.google.com/citations?user=MfzntAIAAAAJ&hl=en,,,,,56.698
Yongxin Chen,https://scholar.google.com/citations?user=2z7iDDUAAAAJ&hl=en,,,,,100.322
Ricky T. Q. Chen,https://scholar.google.co.uk/citations?user=ePlkGmUAAAAJ&hl=de,,,,,80.0
Lorenzo Basile,https://scholar.google.co.uk/citations?user=MgddEm8AAAAJ&hl=en,,,,,45.562
Francesco Locatello,https://scholar.google.com/citations?user=wQanfTIAAAAJ&hl=en,,,,,91.39
Kaibo Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jianda Mao,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yang Xiang,https://scholar.google.com/citations?user=7ymTWY4AAAAJ&hl=en,,,,,209.179
Michalis Michaelides,https://scholar.google.com/citations?user=jyykiFIAAAAJ&hl=en,,,,,61.463
Nicholas Lubbers,https://scholar.google.com/citations?user=GqsjmI8AAAAJ&hl=en,,,,,75.202
Cengiz Pehlevan,https://scholar.google.com/citations?user=veDLTPEAAAAJ&hl=en,,,,,82.608
Chongming Gao,https://scholar.google.com/citations?user=eaGLJ-UAAAAJ&hl=en,,,,,42.027
Fuli Feng,https://scholar.google.com.tr/citations?user=QePM4u8AAAAJ&hl=en,,,,,165.35399999999998
Tobias Würth,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Luise Kärger,https://scholar.google.com/citations?user=EcLF1FMAAAAJ&hl=en,,,,,72.464
Dian Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Hieu Trung Nguyen,https://scholar.google.com/citations?user=tQH_vQsAAAAJ&hl=en,,,,,73.72
Ruifeng She,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xiaojin Fu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Viet Anh Nguyen,https://scholar.google.com/citations?user=3iyf-EoAAAAJ&hl=en,,,,,48.215
Wei Zhai,https://scholar.google.co.uk/citations?user=oASN6jsAAAAJ&hl=en,,,,,117.242
Zengyu Wan,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Tianzhu Zhang,https://scholar.google.com/citations?user=9sCGe-gAAAAJ&hl=en,,,,,159.36599999999999
Zheng-Jun Zha,https://scholar.google.com/citations?user=lOWByxoAAAAJ&hl=en,,,,,154.922
Amir Zandieh,https://scholar.google.com.sg/citations?user=S9Ss8M8AAAAJ&hl=en,,,,,37.881
Michael Kapralov,https://scholar.google.com/citations?user=wEUnFc0AAAAJ&hl=en,,,,,75.748
Chen Gao,https://scholar.google.com/citations?user=Af60_cEAAAAJ&hl=en,,,,,98.304
Wei Wu,https://scholar.google.com/citations?user=IKoa5qAAAAAJ&hl=en,,,,,40.382
Jian Xie,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yikai Zhang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Kai Zhang,https://scholar.google.com/citations?user=aczsdMIAAAAJ&hl=en,,,,,130.939
Yu Su,https://scholar.google.com/citations?user=rIh5OqoAAAAJ&hl=en,,,,,117.822
Yanghua Xiao,https://scholar.google.com/citations?user=odFW4FoAAAAJ&hl=en,,,,,114.434
Ruizhi Shao,https://scholar.google.com/citations?user=Nm5TEGYAAAAJ&hl=en,,,,,38.129
Wei MIN,https://scholar.google.com/citations?user=uoFJiUQAAAAJ&hl=en,,,,,142.597
Yebin Liu,https://scholar.google.com/citations?user=ogXIdlYAAAAJ&hl=en,,,,,158.317
Qingyao Wu,https://scholar.google.com/citations?user=UKqaI5IAAAAJ&hl=en,,,,,93.267
Hsi-Ling Chen,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Chun-Shien Lu,https://scholar.google.com.ec/citations?user=3iOHvUAAAAAJ&hl=en,,,,,88.637
Pau-Choo Chung,https://scholar.google.com/citations?user=RqfodmYAAAAJ&hl=en,,,,,96.456
Jongwon Jeong,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jaewoong Cho,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Sung Ju Hwang,https://scholar.google.com/citations?user=RP4Qx3QAAAAJ&hl=en,,,,,138.44
Jun Zhao,https://scholar.google.com/citations?user=Ue1WSaYAAAAJ&hl=en,,,,,89.313
Yongzhuo Yang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xiang Hu,https://scholar.google.co.in/citations?user=_qFAk8AAAAAJ&hl=en,,,,,139.619
Jingqi Tong,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yi Lu,https://scholar.google.com/citations?user=kIXHwsUAAAAJ&hl=en,,,,,304.0
Tao Gui,https://scholar.google.com/citations?user=X3mxGwEAAAAJ&hl=en,,,,,46.32
Xuanjing Huang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Joey Bose,https://scholar.google.com.tw/citations?user=ybPyI7IAAAAJ&hl=en,,,,,54.73
Valentin De Bortoli,https://scholar.google.com/citations?user=dn_F9I4AAAAJ&sortby=pubdate,,,,,71.774
Arnaud Doucet,https://scholar.google.com/citations?user=W4SZGV8AAAAJ&hl=en,,,,,252.0
Michael M. Bronstein,https://scholar.google.com/citations?user=UU3N6-UAAAAJ&hl=en&oi=ao,,,,,260.0
Dominique Beaini,https://scholar.google.com/citations?user=ScCOIx0AAAAJ&hl=en,,,,,37.528999999999996
Siamak Ravanbakhsh,https://scholar.google.com/citations?user=VciG3C8AAAAJ&hl=en,,,,,61.464
Alexander Tong,https://scholar.google.co.in/citations?user=CS80pt4AAAAJ&hl=en,,,,,65.288
Sungjin Ahn,https://scholar.google.com/citations?user=nfHyDeUAAAAJ&hl=en,,,,,74.631
Yoshua Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ&hl=en,,,,,558.0
Xi Chen,https://scholar.google.co.in/citations?user=RFDBl4kAAAAJ&hl=en,,,,,111.236
Ruiqi Wang,https://scholar.google.com/citations?user=tsvvR1MAAAAJ&hl=en,,,,,23.490000000000002
Dezhong Zhao,https://scholar.google.com/citations?user=ydq4ZjYAAAAJ&hl=en,,,,,69.609
Ziqin Yuan,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Tianyu Shao,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dominic Kao,https://scholar.google.com.co/citations?user=lP0yjhQAAAAJ&hl=en,,,,,47.537
Sungeun Hong,https://scholar.google.com/citations?user=CD27PpoAAAAJ&hl=en,,,,,36.704
Byung-Cheol Min,https://scholar.google.co.in/citations?user=eiAeSiAAAAAJ&hl=en,,,,,61.29
Arnav Kumar Jain,https://scholar.google.com/citations?user=tu7wKckAAAAJ&hl=en,,,,,22.863
Sanjiban Choudhury,https://scholar.google.com/citations?user=5lB_d78AAAAJ&hl=en,,,,,63.311
Yeongbin Seo,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dongha Lee,https://scholar.google.com/citations?user=driVwKwAAAAJ&hl=ko,,,,,46.0
Jinyoung Yeo,https://scholar.google.com/citations?user=rJBSLtAAAAAJ&hl=en,,,,,43.304
Jiawei Zhou,https://scholar.google.com/citations?user=Z37zNm0AAAAJ&hl=en,,,,,101.656
Ali Anwar,https://scholar.google.com/citations?user=a1_bvUUAAAAJ&hl=en,,,,,49.892
Yupeng Zhang,https://scholar.google.com/citations?user=nLnKIikAAAAJ&hl=en,,,,,54.916
Han Liu,https://scholar.google.com/citations?user=XaFT1o4AAAAJ&hl=en,,,,,165.916
Bingning Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dianhui Chu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Cong Wei,https://scholar.google.com/citations?user=y1d5C5YAAAAJ&hl=en,,,,,29.432
Bo Sun,https://scholar.google.com/citations?user=8QGQ5FcAAAAJ&hl=en,,,,,28.194
Felix Juefei-Xu,https://scholar.google.co.id/citations?user=dgN8vtwAAAAJ&hl=en,,,,,111.319
Zecheng He,https://scholar.google.com/citations?user=tcwZh8oAAAAJ&hl=en&oi=ao,,,,,38.327
Xiaoliang Dai,https://scholar.google.com/citations?user=u4olrOcAAAAJ&hl=en,,,,,69.328
Tingbo Hou,https://scholar.google.com/citations?user=u-UDZcsAAAAJ&hl=en,,,,,56.778999999999996
Peter Vajda,https://scholar.google.com/citations?user=4aPgcSUAAAAJ&hl=en,,,,,43.456
Liangchen Song,https://scholar.google.com/citations?user=Kl4T9FYAAAAJ&hl=en,,,,,45.066
Jiasen Lu,https://scholar.google.com.pe/citations?user=zP9K32EAAAAJ&hl=en,,,,,85.623
